Name,State,Total_Population,Hispanic_Latino,White_Alone,Black_Alone,Asian_Alone,Pacific_Islander_Alone,Total_Housing_Units,State_FIPS,Place_FIPS,Hispanic_Latino_Pct,White_Alone_Pct,Black_Alone_Pct,Asian_Alone_Pct,Pacific_Islander_Alone_Pct
"West Park CDP, California",California,1053,804,121,21,73,0,285,06,84680,76.35,11.49,1.99,6.93,0.0
"West Puente Valley CDP, California",California,22959,18298,713,311,3299,40,5400,06,84774,79.7,3.11,1.35,14.37,0.17
"West Rancho Dominguez CDP, California",California,24347,13208,434,9745,240,66,6652,06,84780,54.25,1.78,40.03,0.99,0.27
"West Sacramento city, California",California,53915,17260,22143,2503,7139,578,20245,06,84816,32.01,41.07,4.64,13.24,1.07
"West Whittier-Los Nietos CDP, California",California,25325,22370,1838,201,478,40,7089,06,84921,88.33,7.26,0.79,1.89,0.16
"Westwood CDP, California",California,1541,172,1195,11,5,2,953,06,84928,11.16,77.55,0.71,0.32,0.13
"Wheatland city, California",California,3712,835,2324,57,161,10,1360,06,85012,22.49,62.61,1.54,4.34,0.27
"Whittier city, California",California,87306,61803,18018,1014,3967,122,29953,06,85292,70.79,20.64,1.16,4.54,0.14
"Wildomar city, California",California,36875,15075,16080,1319,1957,176,11724,06,85446,40.88,43.61,3.58,5.31,0.48
"Williams city, California",California,5538,4467,789,47,90,17,1751,06,85586,80.66,14.25,0.85,1.63,0.31
"Willits city, California",California,4988,1218,3110,40,90,6,2147,06,85600,24.42,62.35,0.8,1.8,0.12
"Willowbrook CDP, California",California,24295,19173,259,4365,115,34,5958,06,85614,78.92,1.07,17.97,0.47,0.14
"Willow Creek CDP, California",California,1720,147,1175,10,19,4,984,06,85642,8.55,68.31,0.58,1.1,0.23
"Willows city, California",California,6293,2330,3231,45,268,7,2460,06,85684,37.03,51.34,0.72,4.26,0.11
"Wilton CDP, California",California,5958,1171,3842,111,296,22,2196,06,85880,19.65,64.48,1.86,4.97,0.37
"Winchester CDP, California",California,3068,1714,1035,76,123,8,1028,06,85894,55.87,33.74,2.48,4.01,0.26
"Windsor town, California",California,26344,8898,14879,218,744,53,9672,06,85922,33.78,56.48,0.83,2.82,0.2
"Winter Gardens CDP, California",California,22380,5990,13613,519,562,73,8090,06,85992,26.76,60.83,2.32,2.51,0.33
"Winters city, California",California,7115,3935,2734,34,76,15,2535,06,86034,55.31,38.43,0.48,1.07,0.21
"Julian CDP, California",California,1768,325,1261,18,18,3,988,06,37582,18.38,71.32,1.02,1.02,0.17
